t_ms,V1,V2,Vcm,Vdiff,Vout
0,2.5,1.65,2.075,0.85,0.863081514065078
20,2.50157072398092,1.65031421920875,2.07594247159483,0.851256504772167,0.863927978616923
40,2.503141013937,1.65062879802801,2.0768849059825,0.852512215908988,0.862281600237055
60,2.50471043609551,1.65094409581911,2.07782726595731,0.853766340276397,0.863402934721862
80,2.50627855718778,1.65126047144522,2.0787695143165,0.855018085742561,0.868602197366889
100,2.50784494470083,1.65157828302261,2.07971161386172,0.856266661678215,0.866484686227424
120,2.50940916712851,1.65189788767247,2.08065352740049,0.857511279456038,0.868734153084848
140,2.51097079422206,1.6522196412733,2.08159521774768,0.858751152948764,0.871906154438192
160,2.51252939723983,1.65254389821411,2.08253664772697,0.85998549902572,0.870894126695293
180,2.51408454919604,1.65287101114857,2.0834777801723,0.861213538047469,0.870151206541075
200,2.51563582510852,1.65320133075028,2.0844185779294,0.862434494358243,0.872741593303187
220,2.51718280224509,1.65353520546923,2.08535900385716,0.863647596775866,0.876821775435691
240,2.51872506036862,1.65387298128976,2.08629902082919,0.864852079078852,0.874308429755191
260,2.5202621819804,1.65421500149004,2.08723859173522,0.86604718049036,0.87919872517138
280,2.52179375256197,1.65456160640325,2.08817767948261,0.867232146158726,0.877790394319289
300,2.52331936081489,1.65491313318066,2.08911624699778,0.868406227634234,0.877349072837789
320,2.52483859889861,1.65526991555675,2.09005425722768,0.86956868334186,0.878668341796623
340,2.52635106266612,1.65563228361646,2.09099167314129,0.870718779049664,0.883428012894796
360,2.5278563518973,1.65600056356475,2.09192845773102,0.871855788332547,0.883416040972542
380,2.52935407052977,1.65637507749869,2.09286457401423,0.872978993031074,0.884421316192595
400,2.53084382688719,1.6567561431821,2.09379998503465,0.874087683705086,0.882029065102096
420,2.53232523390474,1.65714407382295,2.09473465386384,0.875181160081788,0.888481220955738
440,2.53379790935173,1.65753917785366,2.0956685436027,0.876258731498065,0.886912886496543
460,2.53526147605119,1.65794175871448,2.09660161738284,0.877319717336714,0.889073486325349
480,2.53671556209628,1.65835211463994,2.09753383836811,0.878363447456338,0.891975245085553
500,2.53815980106335,1.65877053844872,2.09846516975603,0.879389262614624,0.887993561986026
520,2.5395938322216,1.65919731733687,2.09939557477923,0.880396514884731,0.892190810890518
540,2.54101730073918,1.65963273267464,2.10032501670691,0.881384568064535,0.889668258646561
560,2.54242985788553,1.66007705980706,2.10125345884629,0.882352798078472,0.889454402764454
580,2.54383116122993,1.66053056785821,2.10218086454407,0.883300593371713,0.89683318705076
600,2.54522087483608,1.66099351953964,2.10310719718786,0.884227355296434,0.895338134093043
